id,name,image_url,price,product_link,description_keywords,search_query
B00280MUVM,Chuckit! Ultra Ball Dog Toy - Size Large - For Dogs 60-100 lbs - Made from Durable Rubber - Super Bouncy - Floats in Water - 3-inch Diameter - Pack of 1,https://m.media-amazon.com/images/I/71Zxz4R7C6L.jpg,8.99,https://www.amazon.com/Chuckit-3-inch-Ultra-Large-Multicolor/dp/B00280MUVM,"Title: Chuckit! Ultra Ball Dog Toy - Size Large - For Dogs 60-100 lbs - Made from Durable Rubber - Super Bouncy - Floats in Water - 3-inch Diameter - Pack of 1 ||| Features: SUPER HIGH BOUNCE: Take fetch to new heights with the Ultra Ball, compatible with large Chuckit! launchers. Made from durable rubber, this ultra-bouncy ball outperforms standard tennis balls. Lightweight and buoyant, it's perfect for exciting adventures on land and water. | DURABLE RUBBER BALL: Built tough for revolutionary fetch games, our rugged dog toy features a textured surface and a thick rubber core that can withstand rough play. It's soft on your dog's mouth, but no toy is truly indestructible and not intended as a chew toy or for aggressive chewers | SIZING MATTERS: The large Ultra Ball is 3 inches in diameter and best suited for breeds weighing 60-100lbs. Dog balls should always be small enough for your pet to carry but large enough that the ball cannot completely fit in their mouth. When in doubt, buy a size up. | MAKE FETCH HAPPEN: Chuckit! toys make the best gifts for pet lovers. The Ultra Ball is just one of many indoor and outdoor interactive dog toy options we offer, including tumblers, tennis balls, and more. As the #1 stocking stuffers, Chuckit! toys have something for every pet. | CHUCKIT!: For 20 years, Chuckit! has been leading the game of fetch. The special connection between pets and owners is at the heart of every toy we make. With iconic shapes and vibrant colors, Chuckit! toys elevate every adventure, strengthening the bond between you and your furry friend. ||| Description: show up to 2 reviews by default The Chuckit! Ultra Ball dog toy is a must-have for pet owners who love playing fetch with their furry friends. This durable rubber ball is designed to provide an extra high bounce, much better than standard tennis balls. Whether on land or water, this ball's ultra-bouncy, lightweight, and buoyant design offers an exciting fetch experience that dogs love. This rugged dog fetch toy has a textured surface and a thick rubber core. It's soft on your dog's mouth, but no toy is truly indestructible and not intended as a chew toy or for aggressive chewers. Ensure that the ball can't completely fit in their mouth. When in doubt, buy a size up. Always supervise your dog when playing with this toy to ensure their safety.",dog ball toys for fetch large breed
B00OQYBWPI,Chuckit! Ultra Ball Dog Toy - Medium Bouncy Fetch Balls For Dogs 20-60 lbs - Made from Durable Rubber - Floating Water Pet Toys - Size Medium - 2.5-inch Diameter - Pack of 4,https://m.media-amazon.com/images/I/714ZBKyX-KL.jpg,15.28,https://www.amazon.com/Chuckit-Ultra-Ball-Dog-Toy/dp/B00OQYBWPI,"Title: Chuckit! Ultra Ball Dog Toy - Medium Bouncy Fetch Balls For Dogs 20-60 lbs - Made from Durable Rubber - Floating Water Pet Toys - Size Medium - 2.5-inch Diameter - Pack of 4 ||| Features: SUPER HIGH BOUNCE: Take fetch to new heights with the Ultra Ball, compatible with medium Chuckit! launchers. Made from durable rubber, this ultra-bouncy ball outperforms standard tennis balls. Lightweight and buoyant, it's perfect for exciting adventures on land and water. | DURABLE RUBBER BALL: Built tough for revolutionary fetch games, our rugged dog toy features a textured surface and a thick rubber core that can withstand rough play. It's soft on your dog's mouth, but no toy is truly indestructible and not intended as a chew toy or for aggressive chewers. | SIZING MATTERS: The medium Ultra Ball is 2.5 inches in diameter and best suited for breeds weighing 20-60lbs. Dog balls should always be small enough for your pet to carry but large enough that the ball cannot completely fit in their mouth. When in doubt, buy a size up. | MAKE FETCH HAPPEN: Chuckit! toys make the best gifts for pet lovers. The Ultra Ball is just one of many indoor and outdoor interactive dog toy options we offer, including tumblers, tennis balls, and more. As the #1 stocking stuffers, Chuckit! toys have something for every pet. | CHUCKIT!: For 20 years, Chuckit! has been leading the game of fetch. The special connection between pets and owners is at the heart of every toy we make. With iconic shapes and vibrant colors, Chuckit! toys elevate every adventure, strengthening the bond between you and your furry friend. ||| Description: show up to 2 reviews by default The Chuckit! Ultra Ball dog toy is a must-have for pet owners who love playing fetch with their furry friends. This durable rubber ball is designed to provide an extra high bounce, much better than standard tennis balls. Whether on land or water, this ball's ultra-bouncy, lightweight, and buoyant design offers an exciting fetch experience that dogs love. This rugged dog fetch toy has a textured surface and a thick rubber core. It's soft on your dog's mouth, but no toy is truly indestructible and not intended as a chew toy or for aggressive chewers. Ensure that the ball can't completely fit in their mouth. When in doubt, buy a size up. Always supervise your dog when playing with this toy to ensure their safety.",dog ball toys for fetch large breed
B087R8SKQQ,"Outward Hound Squeaker Ballz Fetch Dog Toy, Large, 4-Pack for All Breed Sizes",https://m.media-amazon.com/images/I/81JEWZOB5PL.jpg,9.99,https://www.amazon.com/Outward-Hound-Squeaker-Squeaky-Tennis/dp/B087R8SKQQ,"Title: Outward Hound Squeaker Ballz Fetch Dog Toy, Large, 4-Pack for All Breed Sizes ||| Features: Squeaker Ballz by Outward Hound combine a tennis ball and squeaky toy for an exciting fetch toy that keeps dogs engaged and active | Multi-pack offers bright colors for indoor and outdoor play, perfect for keeping dogs active with or without a launcher | Available in packs of 2 to 8 and sizes from XS to large, with XS balls for dogs under 25 lbs, perfect for all breeds | Made with vibrant tennis felt and premium rubber for a superior bounce and durable, long-lasting play that keeps the fun going | For supervised play; replace if damaged to ensure safe use ||| Description: show up to 2 reviews by default The Outward Hound Squeaker Ballz are a new twist on the classic tennis ball! These brightly colored, multi-sized balls are made with premium rubber so that the bounce doesn't end before the games are done. Your pup will love fetching this squeaky tennis ball whether playing indoors or enjoying the great outdoors. Squeaker Ballz come in multi-packs of 2,4,6,& 8 making them a great addition to families with one or more dog. With a range of sizes from XS to Large, every pup can have a blast with these brightly colored, squeaky dog toys! Please note that XS Squeaker Ballz are intended for dogs under 25 pounds. WARNING: When choosing a toy, make sure to choose an appropriate size toy for your dog. No toy is indestructible. ALWAYS supervise your dog when using a toy of any kind. Inspect toys regularly for damage and remove if broken, or if parts become separated, as serious injury may result. Intended for dogs only. Keep out of reach of children. This is a fet",dog ball toys for fetch large breed
B00AWSTDAI,"Chuck it Ultra Ball, Large/Grande, Orange (2 Pack)",https://m.media-amazon.com/images/I/71PQxEGl7UL.jpg,16.58,https://www.amazon.com/Chuck-Ultra-Large-Grande-Orange/dp/B00AWSTDAI,"Title: Chuck it Ultra Ball, Large/Grande, Orange (2 Pack) ||| Features: (2 Pack) Chuck It Ultra Ball, Large/Grande, Orange | Quality Material used for your pets best health | For bigger dogs | Easy to clean | Compatible for use with Chuckit Mega Ball Launchers ||| Description: show up to 2 reviews by default Chuck it Ultra Ball, Large/Grande, Orange (2 Pack)",dog ball toys for fetch large breed
B099NVDSF4,"Hartz DuraPlay Ball Squeaky Latex Dog Toy, Neon Green, Neon Pink & Neon Orange, Large 3 Count Pack",https://m.media-amazon.com/images/I/512SbIz2CoL.jpg,,https://www.amazon.com/Hartz-DuraPlay-Squeaky-Latex-Large/dp/B099NVDSF4,"Title: Hartz DuraPlay Ball Squeaky Latex Dog Toy, Neon Green, Neon Pink & Neon Orange, Large 3 Count Pack ||| Features: A TOY FOR EVERY DOG: Contains 3 Dura Play Dog Toys. Dura Play dog toys also come in a variety of shapes, sizes, and colors – boomerang, disc, rocket, bone, ball, dumb bell, and a double tug ring with ball. | TOSS & RETRIEVE: Dura Play dog toys encourage exercise through active play and promote bonding between pet parents and pups – inspiring the on-demand games has never been so fun! | OUTDOOR & INDOOR PLAY: Each shape is fun to squeak, throw, bounce, and even chew! The lightweight exterior with irresistible squeaker is so light, Dura Play toys even float and are super easy to clean. | FLEXIBLE, YET DURABLE: The durable latex exterior combined with the soft and flexible foam interior enhances a long-lasting fetch and chew toy experience. | BACON SCENTED: From puppies to senior dogs, these wag-worthy bacon scented toys will entice pups of all ages to get up and play! ||| Description: show up to 2 reviews by default Whether your dog enjoys indoor or outdoor play, Hartz Dura Play bacon scented dog toys are the perfect addition to the toy bin. These dog toys have a durable exterior coupled with a lightweight foam interior to make it easy to throw, bounce, squeak, and float! Every shape has an ear-perking squeaker and an appealing bacon scent that will have even the most inactive dogs begging for more playtime. Dura Play dog toys are perfect for dogs of all ages – the flexible yet durable exterior lends itself to more than just a fetch toy. After your pup is worn out from his or her active play, Dura Play also has unique shapes with ridges that double as a soft chew toy. Be sure to try all the different shapes for hours of enticing play and fun for both you and your furry best friend!",dog ball toys for fetch large breed
B086H4FKD9,"Chuckit! Dog Balls - Interactive Dog Toys, High-Bounce Fetch Ball, Floating Ultra and Rugged Balls, Durable - Size Medium, 2.5-inch Diameter, Set of 3",https://m.media-amazon.com/images/I/71HSi0A2CEL.jpg,13.80,https://www.amazon.com/Chuckit-Dog-Balls-Interactive-High-Bounce/dp/B086H4FKD9,"Title: Chuckit! Dog Balls - Interactive Dog Toys, High-Bounce Fetch Ball, Floating Ultra and Rugged Balls, Durable - Size Medium, 2.5-inch Diameter, Set of 3 ||| Features: VERSATILE PLAY OPTIONS: The Fetch Medley 3-pack includes bouncy rubber balls for dogs to fetch, keeping dogs engaged and excited during fetch games with these interactive dog toys | DURABLE RUBBER DESIGN: Each dog toy ball is made from tough rubber that is ompatible with Chuckit! ball launchers for dogs; these toys are soft on your dog's mouth, making fetch games fun and safe | SAFE SIZING FOR DOGS: These medium balls measure 2.5 inches in diameter and are designed for dogs 20-60 lbs; these dog toy balls are easy to carry but won't fit entirely in your pet's mouth, and when in doubt, buy a size up | HELP CLEAN YOUR DOG'S TEETH: The Rugged Ball features unique ridges that clean your dog's teeth while playing with these stimulating dog toys | PROMOTES PET BONDING: Chuckit! balls for dogs strengthen the bond between pet and owner. Their iconic shapes and vibrant colors make fetching more enjoyable and elevate adventures ||| Description: show up to 2 reviews by default Elevate your dog's playtime with Chuckit!'s Gen 3 Fetch Medley, the ideal blend of interactive dog toys for endless fun. This thoughtfully curated set includes three unique balls: the classic high-bounce Fetch Ball, the water-friendly Ultra Ball, and the innovative Rugged Ball with teeth-cleaning ridges. Designed for dogs weighing 20-60 lbs, each 2.5-inch medium ball is compatible with Chuckit! ball launchers, making them a great choice for interactive dog toys. These durable rubber balls are great pet toys for dogs that love chasing, splashing, and exploring. Chuckit! toys are interactive dog toys that strengthen the bond between you and your furry friend. Delight your pet with long-lasting play sessions using these dog toys to keep them entertained; they are a great addition to your collection of gifts for dogs. Whether you're looking for the ideal moving dog toy or a bouncing ball for dogs, this fetch medley offers a great solution. Celebrate the joy ",dog ball toys for fetch large breed
B002KM9HOQ,Chuckit! Rebounce Ball Dog Toy - Bouncy Fetch Balls for Dogs 20-60 lbs - Made from Durable Rubber - Outdoor Pet Toys - Size Medium - 2.5-inch Diameter - Pack of 2 - Blue,https://m.media-amazon.com/images/I/715+qKAWU8L.jpg,6.25,https://www.amazon.com/Chuckit-Rebounce-Natural-Recycled-Rubber/dp/B002KM9HOQ,"Title: Chuckit! Rebounce Ball Dog Toy - Bouncy Fetch Balls for Dogs 20-60 lbs - Made from Durable Rubber - Outdoor Pet Toys - Size Medium - 2.5-inch Diameter - Pack of 2 - Blue ||| Features: SUPER HIGH BOUNCE: The Rebounce Ball delivers an exciting, high bounce that outperforms standard tennis balls. Compatible with medium Chuckit! ball launchers, it offers energetic fetch games that keep your dog leaping and chasing, helping them stay fit. | DURABLE RUBBER BALL: Built tough for revolutionary fetch games, our dog toy is made from durable recycled rubber. It's soft on your dog's mouth, but no toy is truly indestructible, and it is not intended as a chew toy or for aggressive chewers. | SIZING MATTERS: The medium Rebounce Ball is 2.5 inches in diameter and best suited for breeds weighing 20-60 lbs. Dog balls should always be small enough for your pet to carry but large enough that the ball cannot completely fit in their mouth. When in doubt, buy a size up. | MAKE FETCH HAPPEN: Chuckit! toys make the best gifts for pet lovers. The Rebounce Ball is just one of many outdoor interactive dog toy options we offer, including tumblers, tennis balls, and more. As the stocking stuffers, Chuckit! toys have something for every pet. | CHUCKIT!: For 20 years, Chuckit! has been leading the game of fetch. The special connection between pets and owners is at the heart of every toy we make. With iconic shapes and vibrant colors, Chuckit! toys elevate every adventure, strengthening the bond between you and your furry friend. ||| Description: show up to 2 reviews by default The Chuckit! Rebounce ball is designed for energetic dogs, featuring a high-bounce, recycled rubber construction. The Rebounce ball encourages pets to run farther and leap higher, helping pets stay fit. Its durable rubber surface withstands tough play and is easy to clean, while the eye-catching colors make it easy to spot in any terrain. It's soft on your dog's mouth, but no toy is truly indestructible, and it is not intended as a chew toy or for aggressive chewers. The Rebounce Ball is compatible with medium-sized Chuckit! Launchers, enhancing fetch with slobber-free pickup and long-distance throws.",dog ball toys for fetch large breed
B0006G570G,"Jolly Pets Tug-n-Toss Dog Toy Ball with Handle, 8 Inches/Large, Blue",https://m.media-amazon.com/images/I/71F33T2KQiL.jpg,16.79,https://www.amazon.com/Jolly-Pets-8-Inch-Tug-n-Toss-Blue/dp/B0006G570G,"Title: Jolly Pets Tug-n-Toss Dog Toy Ball with Handle, 8 Inches/Large, Blue ||| Features: The Tug-N-Toss Jolly Ball features an iconic, integrated handle that provides endless ways to carry, play, fetch and tug this durable toy | The large Tug-N-Toss measures 8 inches in diameter and is ideal for large dogs between 20-60 pounds | The Jolly Ball Tug-N-Toss is proudly Made in the USA | Made from flexible material, the Tug-N-Toss is designed to be punctured without deflating | It floats! Take the Tug-N-Toss to the beach or lake for water based play. Note: We design our toys to be durable, but no dog toy is indestructible. For safety, you should always supervise while your dog plays with any toy. Remove all packaging and dispose or properly. Parts of this item can be a choking hazard to pets and children if removed from the toy. If any becomes loose, detached, or destroyed, remove the toy and discard immediately. ||| Description: show up to 2 reviews by default The clever design of Jolly Pets' Tug-N-Toss has made this dog toy wildly popular for years. The Tug-N-Toss Jolly Ball features an iconic, integrated handle that provides endless ways to carry, play, fetch and tug this durable toy. Made from flexible material, the Tug-N-Toss is designed to be punctured without deflating. The Tug-N-Toss is ready to be kicked, thrown, carried and launched. Take the Tug-N-Toss to the beach, lake or pool for water fetch and retrieval- it floats! Available in 4 sizes and 6 colors, Jolly Pets has a Tug-N-Toss for all sizes and types of dogs. Jolly Pets is proud to manufacture the Jolly Ball Tug-N-Toss right here in the USA, and supports organizations throughout the nation that provide toys to shelter dogs. Jolly Pets believes all dogs should be Jolly, even while waiting for forever homes. Note: We design our toys to be durable, but no dog toy is indestructible. For safety, you should always supervise while your dog plays with a",dog ball toys for fetch large breed
B0081Z77QG,"Chuckit! Dog Tennis Ball Dog Toy, Large (3 Inch Diameter) for dogs 60-100 lbs, Pack of 2",https://m.media-amazon.com/images/I/81dKgWUrflL.jpg,4.85,https://www.amazon.com/Chuckit-Tennis-Orange-Shrink-Sleeve/dp/B0081Z77QG,"Title: Chuckit! Dog Tennis Ball Dog Toy, Large (3 Inch Diameter) for dogs 60-100 lbs, Pack of 2 ||| Features: Not Your Average Tennis Ball: Designed with an extra-thick natural rubber core covered with non abrasive felt, Chuckit! Tennis Balls for Dogs are gentler on your dog's mouth and are designed for the game of fetch | Go Fetch Anywhere: This dog balls rubber core bouyance makes it perfect for water fetch and extra bouncy on dry land to encourage jumping. Bright orange and blue colors makes this dog ball easy to spot. Size Large fits all Large Chuckit! launchers | Sizing matters: Size large measures 3"" in diameter and is best suited for dogs weighing 60-100lbs. The ball should be small enough for your dog to carry, but large enough that the ball can't completely fit in their mouth. When in doubt, buy a size up | Make Fetch Happen: Chuckit! Performance toys are designed with you and your dog in mind; Try our full range of indoor and outdoor interactive dog toys including tumblers, flyers, fetch toys, other balls for dogs and more | Chuckit! Fetch Pet Toys: Chuckit! makes indoor and outdoor dog toys that enrich the human-animal bond and helps dogs and puppies stay engaged. Try our full line of ball launchers, puppy toys, flying discs, tennis balls for dogs, dog chew toys, and more ||| Description: show up to 2 reviews by default The Chuckit! Dog Tennis Ball Dog Toy is the perfect playtime accessory for your furry friend. Unlike your average tennis ball, this toy is designed with an extra-thick natural rubber core that's covered with non-abrasive felt, making it gentler on your dog's mouth. Its bright orange and blue colors make it easy to spot, while its size small fits all small Chuckit! launchers, allowing for the perfect fetch experience. This dog ball's rubber core bouyance makes it perfect for water fetch, and it's extra bouncy on dry land, encouraging your dog to jump and play. Measuring 3"" in diameter, this ball is best suited for dogs weighing 60-100 lbs. It should be small enough for your dog to carry, but large enough that the ball can't completely fit in their mouth. And if you're unsure about the size, it's always better to buy a size up. Chuckit! Performance toys are designed with you and your dog in mind, promoting an interactive and engaging playtime experience. S",dog ball toys for fetch large breed
B002LO2Z4W,"Chuckit! The Whistler Ball Dog Toy, Large (3 Inch Diameter) for Dogs 60-100 lbs, Pack of 1",https://m.media-amazon.com/images/I/61BDU3AENbL.jpg,7.46,https://www.amazon.com/Canine-Hardware-Chuckit-Whistler-Large/dp/B002LO2Z4W,"Title: Chuckit! The Whistler Ball Dog Toy, Large (3 Inch Diameter) for Dogs 60-100 lbs, Pack of 1 ||| Features: Whistles When Launched: This 3"" dog ball is designed with four sound holes that create a whistling sound, making fetch more exciting for dogs. Recommend using any size Large Chuckit! launcher; casually tossing The Whistler will not yield loud whistles | Super High Bounce: This Chuckit! ball for dogs is made of durable rubber yielding an ultra bouncy, exciting fetch experience. Not designed to float, land use only; not a chew toy, always supervise your dog when playing with this toy | Sizing matters: Size large measures 3"" in diameter and is best suited for dogs weighing 60-100lbs. Dog balls should be small enough for your dog to carry, but large enough that the ball can't completely fit in their mouth. When in doubt, buy a size up | Make Fetch Happen: Chuckit! Performance toys are designed with you and your dog in mind; Try our full range of indoor and outdoor interactive dog toys including tumblers, flyers, fetch toys, other balls for dogs and more | Chuckit! Fetch Pet Toys: Chuckit! makes indoor and outdoor dog toys that enrich the human-animal bond and helps dogs and puppies stay engaged. Try our full line of ball launchers, puppy toys, flying discs, tennis balls for dogs, dog chew toys, and more ||| Description: show up to 2 reviews by default The Chuckit! The Whistler Ball Dog Toy in size Large is the perfect addition to any dog's toy collection. This 3"" dog ball is designed with four sound holes that create a whistling sound, making fetch more exciting for dogs. With the recommendation of using any size Large Chuckit! launcher, this toy is guaranteed to provide endless hours of entertainment for both you and your furry friend. However, it should be noted that casually tossing The Whistler will not yield loud whistles. To achieve the maximum effect of the whistling sound, it is important to use a launcher. In addition to the exciting whistling sound, this Chuckit! ball for dogs is made of durable rubber that yields an ultra-bouncy, exciting fetch experience. And with its super high bounce, The Whistler is perfect for dogs who love to run, jump and play. It is important to note that The Whistler is not designed to float and should only be used on land. As with all Chuckit! toys, it is not a ch",dog ball toys for fetch large breed
